system,strategy,full_rel_mse,tail16_rel_mse,final_step_rel_mse
heat,latent,0.08005178719758987,0.08838291466236115,0.09685360640287399
heat,state,4.7498579025268555,11.339329719543457,17.836612701416016
heat,latent_branch,0.07963696867227554,0.08747140318155289,0.0954873114824295
heat,hybrid_2,1.0110417604446411,2.120798349380493,2.8876452445983887
heat,hybrid_4,0.3434668183326721,0.5983496904373169,0.7346643209457397
heat,hybrid_8,0.1801154613494873,0.2704269289970398,0.2913552522659302
heat,hybrid_16,0.11889596283435822,0.16435982286930084,0.1621323972940445
wave,latent,0.22876094281673431,0.2782045006752014,0.3156466782093048
wave,state,2.309972047805786,4.212917804718018,5.5166168212890625
wave,latent_branch,0.22626540064811707,0.27270710468292236,0.3068000078201294
wave,hybrid_2,1.0077799558639526,1.7182105779647827,2.075387954711914
wave,hybrid_4,0.5241933465003967,0.8019043207168579,0.908282995223999
wave,hybrid_8,0.34677475690841675,0.48761415481567383,0.5373310446739197
wave,hybrid_16,0.26938366889953613,0.35453397035598755,0.37796157598495483
burgers,latent,0.0871671810746193,0.11789028346538544,0.14523130655288696
burgers,state,35.95260238647461,96.27507781982422,180.20066833496094
burgers,latent_branch,0.08616682142019272,0.11565041542053223,0.14173446595668793
burgers,hybrid_2,2.328435182571411,5.51261568069458,9.26528549194336
burgers,hybrid_4,0.4809005856513977,0.9246006608009338,1.214372992515564
burgers,hybrid_8,0.2115849107503891,0.3513575494289398,0.40724819898605347
burgers,hybrid_16,0.13098199665546417,0.20372891426086426,0.22160552442073822
reaction_diffusion,latent,0.0027509229257702827,0.0019522333750501275,0.001856937655247748
reaction_diffusion,state,0.0038887534756213427,0.0034167419653385878,0.003420453052967787
reaction_diffusion,latent_branch,0.003321964992210269,0.0028307836037129164,0.0027448690962046385
reaction_diffusion,hybrid_2,0.003007252002134919,0.002272258512675762,0.0021974153351038694
reaction_diffusion,hybrid_4,0.0028077445458620787,0.0020124143920838833,0.0019169558072462678
reaction_diffusion,hybrid_8,0.0027585362549871206,0.0019526835530996323,0.0018530163215473294
reaction_diffusion,hybrid_16,0.002749430714175105,0.0019442837219685316,0.0018427300965413451
