system,strategy,full_rel_mse,tail16_rel_mse,final_step_rel_mse
heat,latent,0.07937175035476685,0.08556530624628067,0.09074240177869797
heat,state,5.001497268676758,12.001301765441895,18.68840217590332
heat,latent_branch,0.07900023460388184,0.08484120666980743,0.08978217840194702
heat,hybrid_2,1.045336365699768,2.21701717376709,3.0933732986450195
heat,hybrid_4,0.3464130163192749,0.605877161026001,0.745983362197876
heat,hybrid_8,0.18142876029014587,0.27309450507164,0.2951304614543915
heat,hybrid_16,0.11953983455896378,0.16544808447360992,0.16316963732242584
wave,latent,0.231458380818367,0.27929970622062683,0.31403103470802307
wave,state,5.733430862426758,13.887958526611328,25.652379989624023
wave,latent_branch,0.22928516566753387,0.27469494938850403,0.3072880506515503
wave,hybrid_2,0.9128373265266418,1.6140083074569702,2.2261953353881836
wave,hybrid_4,0.5004065632820129,0.7658934593200684,0.9021700620651245
wave,hybrid_8,0.3450984060764313,0.4812812805175781,0.5320208072662354
wave,hybrid_16,0.27433592081069946,0.3611230254173279,0.3881322741508484
burgers,latent,0.08673817664384842,0.11809824407100677,0.14586514234542847
burgers,state,35.2447395324707,101.93592071533203,315.65228271484375
burgers,latent_branch,0.08537767827510834,0.11516355723142624,0.14132699370384216
burgers,hybrid_2,1.0546033382415771,2.183180093765259,3.2382795810699463
burgers,hybrid_4,0.35622861981391907,0.6104239821434021,0.7347083687782288
burgers,hybrid_8,0.1923915147781372,0.30191680788993835,0.3367089033126831
burgers,hybrid_16,0.12752433121204376,0.1946522742509842,0.20855337381362915
reaction_diffusion,latent,0.0027989475056529045,0.002004449488595128,0.0019257747335359454
reaction_diffusion,state,0.003517329692840576,0.0031268985476344824,0.0025138279888778925
reaction_diffusion,latent_branch,0.0033657082822173834,0.0029134571086615324,0.002944736275821924
reaction_diffusion,hybrid_2,0.002975484123453498,0.002282884670421481,0.002074888441711664
reaction_diffusion,hybrid_4,0.0028433341067284346,0.0020683654583990574,0.0019487617537379265
reaction_diffusion,hybrid_8,0.0028085578233003616,0.0020135813392698765,0.00191740901209414
reaction_diffusion,hybrid_16,0.002799560083076358,0.002001176355406642,0.001912821433506906
